Proba,Actual
0.025698066,0
0.036600552,0
0.051312305,0
0.13557568,0
0.1488663,0
0.1142625,0
0.04092613,0
0.055552676,0
0.02218242,0
0.10469695,0
0.10851588,0
0.21104002,0
0.22884038,0
0.06167891,0
0.15454817,0
0.023182333,0
0.017719567,0
0.1833478,0
0.00827007,0
0.090232104,1
0.22884227,0
0.1872211,0
0.3486547,1
0.066233136,0
0.11423552,0
0.20152415,0
0.081545174,0
0.07113028,0
0.11305104,0
0.04772366,0
0.14823675,0
0.0254087,0
0.16838689,0
0.031006336,0
0.090093136,0
0.052506335,0
0.03625714,0
0.07932574,0
0.042755872,0
0.029369771,0
0.14517543,0
0.05230689,0
0.022797957,0
0.027979672,0
0.020194784,0
0.07937609,0
0.16846332,1
0.9659207,1
0.11898041,0
0.009955481,0
0.18936393,0
0.03275591,0
0.012027323,0
0.052390173,0
0.0025363415,0
0.17360921,0
0.06810442,0
0.08450708,0
0.2168327,0
0.013463274,0
0.34923238,0
0.03329155,0
0.020085007,0
0.054311305,1
0.07055003,0
0.27128565,0
0.06451186,0
0.033874676,0
0.28840917,0
0.035513654,0
0.033836827,0
0.009436339,0
0.0943451,0
0.14570105,1
0.22322503,0
0.030482158,0
0.27176693,1
0.06939296,1
0.30903688,0
0.04472465,0
0.08879554,0
0.026335329,0
0.023450032,0
0.0875563,0
0.05659377,0
0.02415809,0
0.20581536,0
0.040730715,0
0.03117691,0
0.07991744,0
0.03403525,0
0.11612849,0
0.07729433,0
0.015293315,0
0.045437492,0
0.1795347,1
0.07114385,0
0.318771,0
0.08508689,0
0.013316274,0
0.06752337,0
0.02879648,0
0.11090422,0
0.5426069,0
0.015192568,0
0.36565647,1
0.028570995,0
0.06274595,0
0.24219084,0
0.036439657,0
0.10328001,0
0.30802494,0
0.25553045,0
0.054605052,0
0.0948165,0
0.36117107,1
0.07043395,0
0.114982575,0
0.10714461,0
0.061794415,0
0.030510232,0
0.0749721,1
0.17027399,0
0.053531647,0
0.40185642,1
0.019173875,0
0.04729642,0
0.017924517,0
0.025278166,0
0.0485966,0
0.026732475,0
0.08235303,0
0.22273806,1
0.10518515,0
0.0019089282,0
0.11690815,0
0.21713057,0
0.062005214,0
0.17098273,0
0.28625765,0
0.14723746,0
0.06951009,0
0.035840504,0
0.1241512,0
0.16815661,0
0.025340974,0
0.13417904,1
0.032343924,0
0.15828244,0
0.1404426,0
0.21755554,0
0.09446713,0
0.259732,0
0.039968923,0
0.019304574,0
0.05269055,0
0.037180364,0
0.043525316,0
0.04747013,0
0.12496967,0
0.100638285,0
0.017383367,0
0.113059044,1
0.092178166,0
0.15309034,0
0.23016083,0
0.04551702,0
0.045376718,0
0.04417046,0
0.024947599,0
0.050141558,0
0.2211057,0
0.35455352,0
0.11487712,1
0.16939989,0
0.07520838,0
0.02130276,0
0.11453538,0
0.32795975,1
0.032989606,0
0.104336314,0
0.02752389,0
0.08255567,0
0.085587114,0
0.063954465,0
0.024261728,0
0.036684737,0
0.33112332,1
0.02243729,0
0.26469383,0
0.21287973,0
0.054029286,0
0.19379961,0
0.16274619,0
0.6911255,0
0.025369018,0
0.02341573,0
0.0071777254,0
0.22452372,0
0.017602965,0
0.10644046,0
0.042170614,0
0.1910901,0
0.31890482,1
0.023809299,0
0.03208475,0
0.020989552,0
0.013336897,0
0.047799803,0
0.042587794,0
0.39718503,1
0.06926733,0
0.032295495,0
0.2193695,0
0.033906266,0
0.054860763,0
0.14772514,0
0.19160603,0
0.0497709,0
0.030389085,0
0.022756949,0
0.12792045,0
0.06805801,0
0.072513536,0
0.38974756,1
0.10124123,0
0.1985816,0
0.017692268,0
0.1843822,1
0.18706226,0
0.09157261,0
0.012763813,0
0.13495825,0
0.04599642,0
0.042064324,0
0.11547965,0
0.18166931,0
0.042183913,0
0.12465826,0
0.04089012,0
0.018777087,0
0.13096578,0
0.053300187,0
0.20455176,0
0.07397854,0
0.021080852,1
0.08357936,0
0.25424805,0
0.070975035,0
0.06492292,0
0.14955817,0
0.032030493,0
0.08015753,0
0.15168262,0
0.11925125,1
0.20931809,0
0.029050395,1
0.05299689,0
0.020883352,0
0.28220737,0
0.2971486,0
0.24045235,0
0.018537223,0
0.16792025,0
0.16626866,0
0.2180891,0
0.51313096,0
0.0550353,0
0.1667267,1
0.040082254,0
0.18812145,1
0.057919018,0
0.23339498,0
0.1387723,1
0.03424038,0
0.027558535,0
0.09477905,0
